product_name,category,price,mrp,rating,review_count,product_url,seller_name,seller_rating
"Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300 Bluetooth (Black, True Wireless)",bluetooth_headphones,254,1499,4.2,5,https://www.snapdeal.com/product/wireless-bluetooth-earbuds-tws-earbuds/685936227992#bcrumbSearch:bluetooth%20headphones,Varni Enterprise,
MECROLINK M19 Wireless Earbuds TWS 5.1 Dual Touch Bluetooth Headphones Mini Compact Playtime with Fast Charging Sweat-Proof (Black),bluetooth_headphones,339,5999,4.2,16,https://www.snapdeal.com/product/mecrolink-m19-wireless-earbuds-tws/635420041669#bcrumbSearch:bluetooth%20headphones,,
NEO TRUE WIRELESS BLUETOOTH HEADPHONE EARBUDS TWS AIRDOPS WITH HAIR TRIMMER,bluetooth_headphones,386,999,3.9,122,https://www.snapdeal.com/product/neo-true-wireless-bluetooth-headphone/655967385506#bcrumbSearch:bluetooth%20headphones,Audio_M,4.0
Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,282,3499,4.5,6,https://www.snapdeal.com/product/airbuds-16-hr-bluetooth-true/665582913789#bcrumbSearch:bluetooth%20headphones,,
"TWS Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300",bluetooth_headphones,254,999,,,https://www.snapdeal.com/product/tws-wireless-bluetooth-earbuds-tws/628449326595#bcrumbSearch:bluetooth%20headphones,Varni Enterprise,
Tecsox TecPod Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,318,1499,4.0,7954,https://www.snapdeal.com/product/tecsox-max-19-airbuds-in/675964390866#bcrumbSearch:bluetooth%20headphones,,
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,3.8,144,https://www.snapdeal.com/product/m1919-earbuds-tws-earphone-touch/623701460666#bcrumbSearch:bluetooth%20headphones,SURYASH ENTERPRISES,
"MECROLINK M10 MECROLINK M19 Pro TWS Earbuds with 2000mAh Power Bank , LED Display | Bluetooth 5.1 Headphones | 20 Hours Playback (BLACK)",bluetooth_headphones,339,6000,4.4,7,https://www.snapdeal.com/product/mecrolink-m10-mecrolink-m19-pro/675457820517#bcrumbSearch:bluetooth%20headphones,,
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,5.0,1,https://www.snapdeal.com/product/m1919-earbuds-tws-earphone-touch/674356978165#bcrumbSearch:bluetooth%20headphones,SURYASH ENTERPRISES,
MECROLINK ANC10 Buds pods Earbuds 12 Hours Playtime Bluetooth Wireless Headphones Earphone Bluetooth Headset,bluetooth_headphones,319,3600,3.9,18,https://www.snapdeal.com/product/mecrolink-anc10-buds-pods-earbuds/661785349048#bcrumbSearch:bluetooth%20headphones,,
"VERONIC S300 OWS Open Ear Wireless Earbuds with Display, ENC Mic for Crystal-Clear Calls, 60hr Playtime with Type-C Fast Charging, BT5.4 Gaming Bluetooth Earphones, Touch Control Sports Headphone.",bluetooth_headphones,640,2999,3.9,11,https://www.snapdeal.com/product/veronic-s300-ows-open-ear/664594312303#bcrumbSearch:bluetooth%20headphones,VEHOP,4.0
M19 Wireless Earbuds TWS 5.1 Dual Touch Mini Compact Playtime with Fast Charging Sweat-Proof Bluetooth Headphones (Black),bluetooth_headphones,344,6999,,,https://www.snapdeal.com/product/m19-wireless-earbuds-tws-51/670486880924#bcrumbSearch:bluetooth%20headphones,,
"VERONIC TM70 Transparent Truly Wireless TWS Earbuds, AI-ENC Calls, 30Hrs Playtime with Type-C Fast Charging, in-Ear Bluetooth 5.3 Headphone, Immersive Audio, Voice Assistant, IPX5 Water Resistant",bluetooth_headphones,622,2999,5.0,1,https://www.snapdeal.com/product/veronic-tm70-transparent-truly-wireless/623640683088#bcrumbSearch:bluetooth%20headphones,VEHOP,4.0
"""Black Wireless Bluetooth Earbuds with Soft Silicone Cover, Deep Bass, Touch Controls, Long Battery Life, and Charging Case – Comfortable, Sweatproof In-Ear Headphones for All-Day Use""",bluetooth_headphones,339,999,4.7,13,https://www.snapdeal.com/product/black-wireless-bluetooth-earbuds-with/640598948152#bcrumbSearch:bluetooth%20headphones,,
"U7 True Wireless Bluetooth Headphone Upto 30Hr Playtime Fast Charging Dual Pairing, Gaming + Mini Bluetooth Speaker (Any Random Color) - Combo",bluetooth_headphones,488,1999,4.4,422,https://www.snapdeal.com/product/u7-true-wireless-bluetooth-headphone/635973874457#bcrumbSearch:bluetooth%20headphones,,
Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,282,3499,5.0,1,https://www.snapdeal.com/product/airbuds-16-hr-bluetooth-true/647655786033#bcrumbSearch:bluetooth%20headphones,,
"VEHOP S300 OWS Open Ear Wireless Earbuds with Display, ENC Mic for Crystal-Clear Calls, 60hr Playtime with Type-C Fast Charging, BT5.4 Gaming Bluetooth Earphones, Touch Control Sports Headphone.",bluetooth_headphones,640,2999,3.7,24,https://www.snapdeal.com/product/vehop-s300-ows-open-ear/634939266238#bcrumbSearch:bluetooth%20headphones,DIME ENTERPRISES,3.9
BT Wireless Earbuds Bluetooth Headphones With Charging Case Cancelling 3D Stereo Headsets Built in Mic in Earpods Earbuds IPX5 Waterproof Buds for Android/ Airbuds Pro Case With Wireless Charging Case Active Cancellation Enabled Bluetooth Headset,bluetooth_headphones,401,3999,,,https://www.snapdeal.com/product/bt-wireless-earbuds-bluetooth-headphones/660620912883#bcrumbSearch:bluetooth%20headphones,,
SURYASH ENTERPRISES Bluetooth Headphone In Ear TWS White,bluetooth_headphones,282,3499,,,https://www.snapdeal.com/product/suryash-enterprises-bluetooth-headphone-in/664373280431#bcrumbSearch:bluetooth%20headphones,SURYASH ENTERPRISES,
"""Black Wireless Bluetooth Earbuds with Soft Silicone Cover, Deep Bass, Touch Controls, Long Battery Life, and Charging Case – Comfortable, Sweatproof In-Ear Headphones for All-Day Use""",bluetooth_headphones,339,999,4.4,7,https://www.snapdeal.com/product/black-wireless-bluetooth-earbuds-with/645939713305#bcrumbSearch:bluetooth%20headphones,,
Hitech 25000 -mAh 22.5W Li-Polymer Power Bank,power_bank,995,1999,4.5,33,https://www.snapdeal.com/product/hitech-25000-mah-225w-lipolymer/624518559125#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0
"Portronics Power Brick II:10000mAh Power Bank ,D.Blue (POR 1213)",power_bank,699,1999,4.1,168,https://www.snapdeal.com/product/portronics-power-brick-ii-10000/665339529201#bcrumbSearch:power%20bank,,
Hitech 12000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,657,1299,5.0,2,https://www.snapdeal.com/product/hitech-12000-mah-5v2a-5v3a/624539854180#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0
"Portronics Power M 10K:10000mAh Power Bank with Dual Input ,Black (POR 1219)",power_bank,709,1999,4.1,134,https://www.snapdeal.com/product/portronics-por1219-10000-mah-lipolymer/618557195054#bcrumbSearch:power%20bank,,
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2,https://www.snapdeal.com/product/hitech-25000-mah-5v2a-5v3a/6917529664647578623#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0
Portronics 10000 -mAh 5V/2A Li-Polymer Power Bank,power_bank,849,2499,3.5,12,https://www.snapdeal.com/product/portronics-10000-mah-5v2a-lipolymer/655943016957#bcrumbSearch:power%20bank,,
Hitech 12000 -mAh 22.5W Li-Polymer Power Bank,power_bank,826,1499,4.8,6,https://www.snapdeal.com/product/hitech-12000-mah-225w-lipolymer/654430696967#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0
Eller sante 10000 -mAh 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,988,1999,3.7,3,https://www.snapdeal.com/product/eller-sante-10000-mah-5v2a/6917529685762132656#bcrumbSearch:power%20bank,,
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2,https://www.snapdeal.com/product/hitech-25000-mah-5v2a-5v3a/5764608160040731647#bcrumbSearch:power%20bank,HITECH ACCESSORIES PRIVATE LIMITED,4.0
Tecsox 10000 -mAh 5V/3A Li-Polymer Power Bank,power_bank,718,3999,4.3,60,https://www.snapdeal.com/product/tecsox-10000-mah-5v3a-lipolymer/653368111297#bcrumbSearch:power%20bank,,
Portronics 10000 -mAh 5V/2A Li-Polymer Power Bank,power_bank,739,1999,3.7,35,https://www.snapdeal.com/product/portronics-10000-mah-5v2a-lipolymer/678646538357#bcrumbSearch:power%20bank,Electroniks4u,4.2
Eller sante 10000 -mAh 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,988,1999,3.7,3,https://www.snapdeal.com/product/eller-sante-10000-mah-5v2a/8070451190368979632#bcrumbSearch:power%20bank,,
Zebronics 10000 -mAh 5V/3A Li-Polymer Power Bank,power_bank,966,1999,5.0,1,https://www.snapdeal.com/product/zebronics-10000-mah-5v3a-lipolymer/675755032440#bcrumbSearch:power%20bank,A.A. ASSOCIATES,3.8
itel 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,966,1999,3.9,11,https://www.snapdeal.com/product/itel-10000-mah-225w-lipolymer/633300799139#bcrumbSearch:power%20bank,,
Portronics 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,849,2499,3.7,88,https://www.snapdeal.com/product/portronics-10000-mah-225w-lipolymer/645133517722#bcrumbSearch:power%20bank,Electroniks4u,4.2
Zebronics 10000 -mAh 5V/1A & 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,966,1999,,,https://www.snapdeal.com/product/zebronics-10000-mah-5v1a-5v2a/683037523223#bcrumbSearch:power%20bank,,
itel 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,966,1999,,,https://www.snapdeal.com/product/itel-10000-mah-225w-lipolymer/680834269813#bcrumbSearch:power%20bank,A.A. ASSOCIATES,3.8
Zebronics 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,1064,1999,,,https://www.snapdeal.com/product/zebronics-10000-mah-225w-lipolymer/686865345546#bcrumbSearch:power%20bank,,
Itel Power Go Star 100 (IPP-53) 10000mAh(10 W) Lithium_Polymer Slim Power Bank (Black) Support and Mobile/Tablet,power_bank,868,1599,3.8,13,https://www.snapdeal.com/product/itel-10000-mah-lipolymer-power/678945668242#bcrumbSearch:power%20bank,A.A. ASSOCIATES,3.8
Hitech 12000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1248,2999,,,https://www.snapdeal.com/product/hitech-12000-mah-5v2a-5v3a/677443342689#bcrumbSearch:power%20bank,,
HEDU T500 BT Calling Smart Watch with Strap Upto 4 hours Backup ( BLACK ),smart_watch,436,999,3.5,403,https://www.snapdeal.com/product/hedu-t500-bt-calling-smart/659510958982#bcrumbSearch:smart%20watch,Audio_M,4.0
"SKYRISE Ultra Max Golden Edition Smartwatch | Heart Rate | Steps | Wireless Charging Smartwatch (Golden Strap, 2.09 Inch Big Sunlight Proof Display)",smart_watch,576,4999,3.8,330,https://www.snapdeal.com/product/skyrise-ultra-max-golden-edition/627775378238#bcrumbSearch:smart%20watch,,
