product_name,category,price,mrp,rating,review_count,product_url,seller_name,seller_rating,discount_pct,price_to_mrp_ratio,rating_review_ratio,review_density,generic_word_count,uppercase_ratio,category_avg_price,price_deviation_from_category,extreme_discount_flag,suspicious_trust_flag,aggressive_listing_flag,risk_score,risk_level,seller_cluster_id
"Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300 Bluetooth (Black, True Wireless)",bluetooth_headphones,254,1499,4.2,5.0,https://www.snapdeal.com/product/wireless-bluetooth-earbuds-tws-earbuds/685936227992#bcrumbSearch:bluetooth%20headphones,Varni Enterprise,,0.8305537024683122,0.1694462975316878,2.3440646315152387,0.01968503937007874,6,0.11607142857142858,389.3125,-135.3125,1,0,1,2,Medium,0
MECROLINK M19 Wireless Earbuds TWS 5.1 Dual Touch Bluetooth Headphones Mini Compact Playtime with Fast Charging Sweat-Proof (Black),bluetooth_headphones,339,5999,4.2,16.0,https://www.snapdeal.com/product/mecrolink-m19-wireless-earbuds-tws/635420041669#bcrumbSearch:bluetooth%20headphones,,,0.9434905817636273,0.056509418236372726,1.482415720231997,0.0471976401179941,5,0.20610687022900764,389.3125,-50.3125,1,0,1,2,Medium,0
NEO TRUE WIRELESS BLUETOOTH HEADPHONE EARBUDS TWS AIRDOPS WITH HAIR TRIMMER,bluetooth_headphones,386,999,3.9,122.0,https://www.snapdeal.com/product/neo-true-wireless-bluetooth-headphone/655967385506#bcrumbSearch:bluetooth%20headphones,Audio_M,4.0,0.6136136136136137,0.3863863863863864,0.8104427661101478,0.3160621761658031,3,0.8666666666666667,389.3125,-3.3125,1,1,1,3,Medium,1
Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,282,3499,4.5,6.0,https://www.snapdeal.com/product/airbuds-16-hr-bluetooth-true/665582913789#bcrumbSearch:bluetooth%20headphones,,,0.919405544441269,0.08059445555873107,2.312542540663878,0.02127659574468085,4,0.16494845360824742,389.3125,-107.3125,1,0,1,2,Medium,0
Tecsox TecPod Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,318,1499,4.0,7954.0,https://www.snapdeal.com/product/tecsox-max-19-airbuds-in/675964390866#bcrumbSearch:bluetooth%20headphones,,,0.7878585723815877,0.2121414276184123,0.4453571325923551,25.0125786163522,4,0.17117117117117117,389.3125,-71.3125,1,1,1,3,Medium,0
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,3.8,144.0,https://www.snapdeal.com/product/m1919-earbuds-tws-earphone-touch/623701460666#bcrumbSearch:bluetooth%20headphones,SURYASH ENTERPRISES,,0.8929643214404802,0.10703567855951984,0.763553004174132,0.4485981308411215,3,0.14035087719298245,389.3125,-68.3125,1,1,1,3,Medium,0
"MECROLINK M10 MECROLINK M19 Pro TWS Earbuds with 2000mAh Power Bank , LED Display | Bluetooth 5.1 Headphones | 20 Hours Playback (BLACK)",bluetooth_headphones,339,6000,4.4,7.0,https://www.snapdeal.com/product/mecrolink-m10-mecrolink-m19-pro/675457820517#bcrumbSearch:bluetooth%20headphones,,,0.9435,0.0565,2.1159527266371465,0.02064896755162242,3,0.3014705882352941,389.3125,-50.3125,1,0,1,2,Medium,0
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,5.0,1.0,https://www.snapdeal.com/product/m1919-earbuds-tws-earphone-touch/674356978165#bcrumbSearch:bluetooth%20headphones,SURYASH ENTERPRISES,,0.8929643214404802,0.10703567855951984,7.213475204444817,0.003115264797507788,3,0.14035087719298245,389.3125,-68.3125,1,0,1,2,Medium,2
MECROLINK ANC10 Buds pods Earbuds 12 Hours Playtime Bluetooth Wireless Headphones Earphone Bluetooth Headset,bluetooth_headphones,319,3600,3.9,18.0,https://www.snapdeal.com/product/mecrolink-anc10-buds-pods-earbuds/661785349048#bcrumbSearch:bluetooth%20headphones,,,0.9113888888888889,0.08861111111111111,1.3245307603909235,0.05642633228840126,3,0.2037037037037037,389.3125,-70.3125,1,0,1,2,Medium,0
"VERONIC S300 OWS Open Ear Wireless Earbuds with Display, ENC Mic for Crystal-Clear Calls, 60hr Playtime with Type-C Fast Charging, BT5.4 Gaming Bluetooth Earphones, Touch Control Sports Headphone.",bluetooth_headphones,640,2999,3.9,11.0,https://www.snapdeal.com/product/veronic-s300-ows-open-ear/664594312303#bcrumbSearch:bluetooth%20headphones,VEHOP,4.0,0.786595531843948,0.21340446815605202,1.5694754570891942,0.0171875,3,0.18877551020408162,389.3125,250.6875,1,0,1,2,Medium,0
