product_name,category,price,mrp,rating,review_count,discount_pct,price_to_mrp_ratio,rating_review_ratio,review_density,generic_word_count,uppercase_ratio,category_avg_price,price_deviation_from_category,extreme_discount_flag,suspicious_trust_flag,aggressive_listing_flag,risk_score,risk_level,seller_cluster_id,price_cluster,discount_pct_cluster,risk_score_cluster,cluster_size
"One Plus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design",bluetooth_headphones,592,2299,3.9,29.0,0.7424967377120487,0.2575032622879513,1.1466550048013036,0.048986486486486486,1,0.12389380530973451,413.5625,178.4375,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
"Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300 Bluetooth (Black, True Wireless)",bluetooth_headphones,254,1499,4.2,5.0,0.8305537024683122,0.1694462975316878,2.3440646315152387,0.01968503937007874,6,0.11607142857142858,413.5625,-159.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
MECROLINK M19 Wireless Earbuds TWS 5.1 Dual Touch Bluetooth Headphones Mini Compact Playtime with Fast Charging Sweat-Proof (Black),bluetooth_headphones,339,5999,4.2,16.0,0.9434905817636273,0.056509418236372726,1.482415720231997,0.0471976401179941,5,0.20610687022900764,413.5625,-74.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
"One-Plus Nord 2r GATIMAN True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Multi Colors]",bluetooth_headphones,626,2499,3.9,56.0,0.749499799919968,0.250500200080032,0.9646179931052004,0.08945686900958466,1,0.1736111111111111,413.5625,212.4375,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Bluetooth Earbuds With High Bass Sound In Ear TWS Black,bluetooth_headphones,428,1200,4.6,17.0,0.6433333333333333,0.3566666666666667,1.5914907788014905,0.0397196261682243,2,0.21818181818181817,413.5625,14.4375,1,0,0,1,Low,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
NEO TRUE WIRELESS BLUETOOTH HEADPHONE EARBUDS TWS AIRDOPS WITH HAIR TRIMMER,bluetooth_headphones,386,999,3.9,122.0,0.6136136136136137,0.3863863863863864,0.8104427661101478,0.3160621761658031,3,0.8666666666666667,413.5625,-27.5625,1,1,1,3,Medium,5,386.0,0.6136136136136137,3.0,2
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,3.8,144.0,0.8929643214404802,0.10703567855951984,0.763553004174132,0.4485981308411215,3,0.14035087719298245,413.5625,-92.5625,1,1,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
Tecsox TecPod Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,318,1499,4.0,7954.0,0.7878585723815877,0.2121414276184123,0.4453571325923551,25.0125786163522,4,0.17117117117117117,413.5625,-95.5625,1,1,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,5.0,1.0,0.8929643214404802,0.10703567855951984,7.213475204444817,0.003115264797507788,3,0.14035087719298245,413.5625,-92.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
MECROLINK ANC10 Buds pods Earbuds 12 Hours Playtime Bluetooth Wireless Headphones Earphone Bluetooth Headset,bluetooth_headphones,319,3600,3.9,18.0,0.9113888888888889,0.08861111111111111,1.3245307603909235,0.05642633228840126,3,0.2037037037037037,413.5625,-94.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
"One Plus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design",bluetooth_headphones,688,2299,4.0,64.0,0.7007394519356241,0.2992605480643758,0.9582244629880743,0.09302325581395349,1,0.12389380530973451,413.5625,274.4375,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,282,3499,4.5,6.0,0.919405544441269,0.08059445555873107,2.312542540663878,0.02127659574468085,4,0.16494845360824742,413.5625,-131.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
VERONIC T75 EAR CLIP OWS Bluetooth True Wireless (TWS) On Ear 30 Hours Playback Comfirtable in ear fit IPX4(Splash & Sweat Proof) Pink,bluetooth_headphones,596,2999,3.5,11.0,0.8012670890296766,0.19873291097032345,1.4085036153364563,0.018456375838926176,4,0.26865671641791045,413.5625,182.4375,1,0,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
"MECROLINK M10 MECROLINK M19 Pro TWS Earbuds with 2000mAh Power Bank , LED Display | Bluetooth 5.1 Headphones | 20 Hours Playback (BLACK)",bluetooth_headphones,339,6000,4.4,7.0,0.9435,0.0565,2.1159527266371465,0.02064896755162242,3,0.3014705882352941,413.5625,-74.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
Life Like M88 PLUS TWS Bluetooth Earbuds With Mic - Black,bluetooth_headphones,469,1999,3.7,30.0,0.7653826913456728,0.23461730865432717,1.0774647020138612,0.06396588486140725,2,0.2631578947368421,413.5625,55.4375,1,1,1,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
M10 TWS Bluetooth 5.3 Wireless Earbuds with LED Display Extra Bass Gaming Mode Waterproof Touch Sensor Long Battery Backup Earphones BLACK,bluetooth_headphones,339,5000,5.0,1.0,0.9322,0.0678,7.213475204444817,0.0029498525073746312,4,0.1956521739130435,413.5625,-74.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
"One Plus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design",bluetooth_headphones,592,2299,3.9,29.0,0.7424967377120487,0.2575032622879513,1.1466550048013036,0.048986486486486486,1,0.12389380530973451,413.5625,178.4375,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
"Wireless Bluetooth Earbuds, TWS Earbuds, Headphone Bluetooth, earbuds under 300 Bluetooth (Black, True Wireless)",bluetooth_headphones,254,1499,4.2,5.0,0.8305537024683122,0.1694462975316878,2.3440646315152387,0.01968503937007874,6,0.11607142857142858,413.5625,-159.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
MECROLINK M19 Wireless Earbuds TWS 5.1 Dual Touch Bluetooth Headphones Mini Compact Playtime with Fast Charging Sweat-Proof (Black),bluetooth_headphones,339,5999,4.2,16.0,0.9434905817636273,0.056509418236372726,1.482415720231997,0.0471976401179941,5,0.20610687022900764,413.5625,-74.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
"One-Plus Nord 2r GATIMAN True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design, IP55 Rating [Multi Colors]",bluetooth_headphones,626,2499,3.9,56.0,0.749499799919968,0.250500200080032,0.9646179931052004,0.08945686900958466,1,0.1736111111111111,413.5625,212.4375,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Bluetooth Earbuds With High Bass Sound In Ear TWS Black,bluetooth_headphones,428,1200,4.6,17.0,0.6433333333333333,0.3566666666666667,1.5914907788014905,0.0397196261682243,2,0.21818181818181817,413.5625,14.4375,1,0,0,1,Low,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
NEO TRUE WIRELESS BLUETOOTH HEADPHONE EARBUDS TWS AIRDOPS WITH HAIR TRIMMER,bluetooth_headphones,386,999,3.9,122.0,0.6136136136136137,0.3863863863863864,0.8104427661101478,0.3160621761658031,3,0.8666666666666667,413.5625,-27.5625,1,1,1,3,Medium,5,386.0,0.6136136136136137,3.0,2
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,3.8,144.0,0.8929643214404802,0.10703567855951984,0.763553004174132,0.4485981308411215,3,0.14035087719298245,413.5625,-92.5625,1,1,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
Tecsox TecPod Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,318,1499,4.0,7954.0,0.7878585723815877,0.2121414276184123,0.4453571325923551,25.0125786163522,4,0.17117117117117117,413.5625,-95.5625,1,1,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
M19-19 Earbuds TWS Earphone Touch Control Mirror Digital Display Wireless Bluetooth 5.1 Headphones With Microphone,bluetooth_headphones,321,2999,5.0,1.0,0.8929643214404802,0.10703567855951984,7.213475204444817,0.003115264797507788,3,0.14035087719298245,413.5625,-92.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
MECROLINK ANC10 Buds pods Earbuds 12 Hours Playtime Bluetooth Wireless Headphones Earphone Bluetooth Headset,bluetooth_headphones,319,3600,3.9,18.0,0.9113888888888889,0.08861111111111111,1.3245307603909235,0.05642633228840126,3,0.2037037037037037,413.5625,-94.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
"One Plus Nord Buds 2r True Wireless in Ear Earbuds with Mic, 12.4mm Drivers, Playback:Upto 38hr case,4-Mic Design",bluetooth_headphones,688,2299,4.0,64.0,0.7007394519356241,0.2992605480643758,0.9582244629880743,0.09302325581395349,1,0.12389380530973451,413.5625,274.4375,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Airbuds 16 Hr Bluetooth True Wireless Earbuds In Ear Bluetooth Headphone Powerfull Bass TWS White,bluetooth_headphones,282,3499,4.5,6.0,0.919405544441269,0.08059445555873107,2.312542540663878,0.02127659574468085,4,0.16494845360824742,413.5625,-131.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
VERONIC T75 EAR CLIP OWS Bluetooth True Wireless (TWS) On Ear 30 Hours Playback Comfirtable in ear fit IPX4(Splash & Sweat Proof) Pink,bluetooth_headphones,596,2999,3.5,11.0,0.8012670890296766,0.19873291097032345,1.4085036153364563,0.018456375838926176,4,0.26865671641791045,413.5625,182.4375,1,0,1,3,Medium,2,433.625,0.8650744934452039,2.375,32
"MECROLINK M10 MECROLINK M19 Pro TWS Earbuds with 2000mAh Power Bank , LED Display | Bluetooth 5.1 Headphones | 20 Hours Playback (BLACK)",bluetooth_headphones,339,6000,4.4,7.0,0.9435,0.0565,2.1159527266371465,0.02064896755162242,3,0.3014705882352941,413.5625,-74.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
Life Like M88 PLUS TWS Bluetooth Earbuds With Mic - Black,bluetooth_headphones,469,1999,3.7,30.0,0.7653826913456728,0.23461730865432717,1.0774647020138612,0.06396588486140725,2,0.2631578947368421,413.5625,55.4375,1,1,1,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
M10 TWS Bluetooth 5.3 Wireless Earbuds with LED Display Extra Bass Gaming Mode Waterproof Touch Sensor Long Battery Backup Earphones BLACK,bluetooth_headphones,339,5000,5.0,1.0,0.9322,0.0678,7.213475204444817,0.0029498525073746312,4,0.1956521739130435,413.5625,-74.5625,1,0,1,2,Medium,2,433.625,0.8650744934452039,2.375,32
Hitech 25000 -mAh 22.5W Li-Polymer Power Bank,power_bank,995,1999,4.5,33.0,0.5022511255627814,0.4977488744372186,1.2761032142310003,0.033165829145728645,0,0.15555555555555556,884.0625,110.9375,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
"Portronics Power Brick II:10000mAh Power Bank ,D.Blue (POR 1213)",power_bank,699,1999,4.1,168.0,0.6503251625812907,0.34967483741870936,0.7992360527651241,0.24034334763948498,0,0.203125,884.0625,-185.0625,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Hitech 12000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,657,1299,5.0,2.0,0.4942263279445728,0.5057736720554272,4.551196133134186,0.0030441400304414,0,0.20408163265306123,884.0625,-227.0625,0,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
"Portronics Power M 10K:10000mAh Power Bank with Dual Input ,Black (POR 1219)",power_bank,709,1999,4.1,134.0,0.6453226613306653,0.35467733866933465,0.8358349297825095,0.18899858956276447,0,0.17105263157894737,884.0625,-175.0625,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Hitech 12000 -mAh 22.5W Li-Polymer Power Bank,power_bank,826,1499,4.8,6.0,0.44896597731821214,0.5510340226817878,2.4667120433748035,0.007263922518159807,0,0.15555555555555556,884.0625,-58.0625,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Eller sante 10000 -mAh 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,988,1999,3.7,3.0,0.5057528764382191,0.4942471235617809,2.6689858256445826,0.003036437246963563,0,0.1724137931034483,884.0625,103.9375,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2.0,0.5342136854741897,0.4657863145258103,4.551196133134186,0.001718213058419244,0,0.20408163265306123,884.0625,279.9375,0,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
Portronics 10000 -mAh 5V/2A Li-Polymer Power Bank,power_bank,849,2499,3.5,12.0,0.6602641056422569,0.3397358943577431,1.36454935837948,0.014134275618374558,0,0.16326530612244897,884.0625,-35.0625,1,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2.0,0.5342136854741897,0.4657863145258103,4.551196133134186,0.001718213058419244,0,0.20408163265306123,884.0625,279.9375,0,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
Tecsox 10000 -mAh 5V/3A Li-Polymer Power Bank,power_bank,718,3999,4.3,60.0,0.8204551137784446,0.1795448862215554,1.0460063096255379,0.08356545961002786,0,0.17777777777777778,884.0625,-166.0625,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Portronics 10000 -mAh 5V/2A Li-Polymer Power Bank,power_bank,739,1999,3.7,35.0,0.6303151575787894,0.3696848424212106,1.0325046591198075,0.04736129905277402,0,0.16326530612244897,884.0625,-145.0625,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Eller sante 10000 -mAh 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,988,1999,3.7,3.0,0.5057528764382191,0.4942471235617809,2.6689858256445826,0.003036437246963563,0,0.1724137931034483,884.0625,103.9375,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Portronics 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,849,2499,3.7,88.0,0.6602641056422569,0.3397358943577431,0.8243037963489117,0.10365135453474676,0,0.14285714285714285,884.0625,-35.0625,1,1,0,2,Medium,4,1018.6,0.5547354955866364,0.8,30
itel 10000 -mAh 22.5W Li-Polymer Power Bank,power_bank,966,1999,3.9,11.0,0.5167583791895948,0.4832416208104052,1.5694754570891942,0.011387163561076604,0,0.13953488372093023,884.0625,81.9375,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Zebronics 10000 -mAh 5V/3A Li-Polymer Power Bank,power_bank,966,1999,5.0,1.0,0.5167583791895948,0.4832416208104052,7.213475204444817,0.0010351966873706005,0,0.16666666666666666,884.0625,81.9375,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Itel Power Go Star 100 (IPP-53) 10000mAh(10 W) Lithium_Polymer Slim Power Bank (Black) Support and Mobile/Tablet,power_bank,868,1599,3.8,13.0,0.45716072545340836,0.5428392745465916,1.4399080904218144,0.014976958525345621,0,0.16071428571428573,884.0625,-16.0625,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Hitech 25000 -mAh 22.5W Li-Polymer Power Bank,power_bank,995,1999,4.5,33.0,0.5022511255627814,0.4977488744372186,1.2761032142310003,0.033165829145728645,0,0.15555555555555556,884.0625,110.9375,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
"Portronics Power Brick II:10000mAh Power Bank ,D.Blue (POR 1213)",power_bank,699,1999,4.1,168.0,0.6503251625812907,0.34967483741870936,0.7992360527651241,0.24034334763948498,0,0.203125,884.0625,-185.0625,1,1,0,3,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Hitech 12000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,657,1299,5.0,2.0,0.4942263279445728,0.5057736720554272,4.551196133134186,0.0030441400304414,0,0.20408163265306123,884.0625,-227.0625,0,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
"Portronics Power M 10K:10000mAh Power Bank with Dual Input ,Black (POR 1219)",power_bank,709,1999,4.1,134.0,0.6453226613306653,0.35467733866933465,0.8358349297825095,0.18899858956276447,0,0.17105263157894737,884.0625,-175.0625,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
Hitech 12000 -mAh 22.5W Li-Polymer Power Bank,power_bank,826,1499,4.8,6.0,0.44896597731821214,0.5510340226817878,2.4667120433748035,0.007263922518159807,0,0.15555555555555556,884.0625,-58.0625,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Eller sante 10000 -mAh 5V/2A & 5V/3A Li-Polymer Power Bank,power_bank,988,1999,3.7,3.0,0.5057528764382191,0.4942471235617809,2.6689858256445826,0.003036437246963563,0,0.1724137931034483,884.0625,103.9375,0,0,0,0,Low,4,1018.6,0.5547354955866364,0.8,30
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2.0,0.5342136854741897,0.4657863145258103,4.551196133134186,0.001718213058419244,0,0.20408163265306123,884.0625,279.9375,0,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
Portronics 10000 -mAh 5V/2A Li-Polymer Power Bank,power_bank,849,2499,3.5,12.0,0.6602641056422569,0.3397358943577431,1.36454935837948,0.014134275618374558,0,0.16326530612244897,884.0625,-35.0625,1,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
Hitech 25000 -mAh 5V/2A & 5V/3A Li-Ion Power Bank,power_bank,1164,2499,5.0,2.0,0.5342136854741897,0.4657863145258103,4.551196133134186,0.001718213058419244,0,0.20408163265306123,884.0625,279.9375,0,0,0,1,Low,4,1018.6,0.5547354955866364,0.8,30
Tecsox 10000 -mAh 5V/3A Li-Polymer Power Bank,power_bank,718,3999,4.3,60.0,0.8204551137784446,0.1795448862215554,1.0460063096255379,0.08356545961002786,0,0.17777777777777778,884.0625,-166.0625,1,1,0,2,Medium,0,454.42424242424244,0.7487696035569588,1.9696969696969697,66
